RecordType,PickListCode,PickLstSubCode,Description,DeleteFlag,CreationDate
1,100,,COB,N,2018-02-04 09:24:59.347000000
1,101,,AA,N,2018-02-04 09:25:24.303000000
2,200,101,AA,N,2018-02-05 12:43:32.227000000
2,201,101,AA_Core,N,2018-02-05 12:43:54.367000000
1,102,,T24_General,N,2018-02-05 13:06:17.603000000
2,202,102,T24_Intro,N,2018-02-05 13:06:35.357000000
1,103,,InclusiveBanking,N,2018-02-05 14:59:01.363000000
2,204,103,InclusiveBanking,N,2018-02-05 14:59:14.470000000
1,104,,OFS,N,2018-02-06 15:04:32.943000000
1,105,,T24Induction,N,2018-02-08 17:53:41.163000000
2,205,105,T24_Basic,N,2018-02-08 17:53:55.730000000
2,206,105,T24_Browser,N,2018-02-08 17:54:04.710000000
2,207,105,T24_DealSlip,N,2018-02-08 17:54:12.937000000
2,208,105,T24_General,N,2018-02-08 17:54:21.080000000
2,209,105,Version,N,2018-02-08 17:54:28.603000000
1,106,,SpanishLearning,N,2019-03-12 19:32:43.280000000
2,210,106,SpanishVowels,N,2019-03-12 19:33:00.387000000
2,203,101,AA_Gen11,N,2018-02-05 14:11:46.183000000
